# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.50000000e+00
# lRef          : 2.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
2.8             	7.94454015e-10	1.11627411e+00	-1.41076587e-07	-6.97438396e-08	-7.13327477e-08
2.85            	7.53946244e-10	1.11142357e+00	-1.07039593e-07	-5.27658505e-08	-5.42737430e-08
2.9             	7.24031052e-10	1.10628951e+00	-1.08543928e-07	-5.35479330e-08	-5.49959951e-08
2.95            	6.91714388e-10	1.10079875e+00	-1.41653473e-07	-7.01350221e-08	-7.15184509e-08
3               	6.64372690e-10	1.09548387e+00	-1.24938601e-07	-6.18049276e-08	-6.31336729e-08
3.05            	6.44764829e-10	1.09007660e+00	-1.07742674e-07	-5.32265721e-08	-5.45161018e-08
3.1             	6.49480512e-10	1.08526933e+00	-1.14971537e-07	-5.68362882e-08	-5.81352492e-08
3.15            	5.84341526e-10	1.08046189e+00	-1.17223315e-07	-5.80273161e-08	-5.91959991e-08
3.2             	5.60228093e-10	1.07604535e+00	-1.09733137e-07	-5.43063403e-08	-5.54267965e-08
3.25            	4.42443017e-10	1.07150256e+00	-1.24233001e-07	-6.16740573e-08	-6.25589434e-08
3.3             	3.23905221e-10	1.06717573e+00	-1.31631862e-07	-6.54920260e-08	-6.61398364e-08
3.35            	2.50558476e-10	1.06301097e+00	-1.27812969e-07	-6.36559261e-08	-6.41570430e-08
3.4             	2.18882578e-10	1.05944958e+00	-1.22446432e-07	-6.10043332e-08	-6.14420983e-08
3.45            	2.15648045e-10	1.05548187e+00	-1.18598622e-07	-5.90836630e-08	-5.95149591e-08
3.5             	2.25826886e-10	1.05150121e+00	-1.22651112e-07	-6.10997292e-08	-6.15513830e-08
3.55            	1.99364946e-10	1.04822765e+00	-1.15400324e-07	-5.75007972e-08	-5.78995271e-08
3.6             	1.19058898e-10	1.04454927e+00	-1.00027194e-07	-4.98945381e-08	-5.01326559e-08
3.65            	-2.78070143e-11	1.04117853e+00	-1.11258540e-07	-5.56570770e-08	-5.56014629e-08
3.7             	-2.13089279e-10	1.03804448e+00	-1.08797387e-07	-5.46117829e-08	-5.41856044e-08
3.75            	-4.64039103e-10	1.03523823e+00	-1.06446600e-07	-5.36873393e-08	-5.27592611e-08
3.8             	-7.23745726e-10	1.03231550e+00	-1.05442569e-07	-5.34450302e-08	-5.19975387e-08
3.85            	-9.93739877e-10	1.02947966e+00	-1.07704327e-07	-5.48459036e-08	-5.28584239e-08
3.9             	-1.19479256e-09	1.02669666e+00	-1.05949629e-07	-5.41696071e-08	-5.17800220e-08
3.95            	-1.30552859e-09	1.02407439e+00	-1.05058511e-07	-5.38347842e-08	-5.12237271e-08
4               	-1.31579489e-09	1.02143794e+00	-1.01636456e-07	-5.21340228e-08	-4.95024330e-08
4.05            	-1.26468116e-09	1.01879124e+00	-1.00776031e-07	-5.16526964e-08	-4.91233341e-08
4.1             	-1.36734240e-09	1.01592372e+00	-6.66107633e-07	-3.34421159e-07	-3.31686474e-07
4.15            	-1.14622280e-09	1.01353776e+00	4.59174089e-07	2.28440822e-07	2.30733267e-07
4.2             	-1.32908462e-09	1.01092308e+00	-8.12075968e-07	-4.07367069e-07	-4.04708899e-07
4.25            	-1.30842753e-09	1.00807280e+00	-8.57467669e-08	-4.41818110e-08	-4.15649559e-08
4.3             	-1.38674003e-09	1.00552001e+00	-2.41240509e-07	-1.22006994e-07	-1.19233514e-07
4.35            	-1.42771147e-09	1.00268639e+00	-2.14705271e-07	-1.08780347e-07	-1.05924924e-07
4.4             	-1.36017758e-09	1.00011698e+00	-2.44627705e-07	-1.23674030e-07	-1.20953675e-07
4.45            	-1.25409396e-09	9.97532953e-01	-2.16620514e-07	-1.09564351e-07	-1.07056163e-07
4.5             	-1.14539390e-09	9.95141490e-01	-2.04662426e-07	-1.03476607e-07	-1.01185819e-07
4.55            	-1.03218985e-09	9.92906550e-01	-2.16466098e-07	-1.09265239e-07	-1.07200859e-07
4.6             	-9.00842224e-10	9.90797532e-01	-1.88813045e-07	-9.53073647e-08	-9.35056802e-08
4.65            	-7.65445655e-10	9.88752771e-01	-1.79353292e-07	-9.04420919e-08	-8.89112006e-08
4.7             	-6.37954819e-10	9.86707223e-01	-1.75742907e-07	-8.85094085e-08	-8.72334989e-08
4.75            	-5.31289254e-10	9.84529339e-01	-1.66272095e-07	-8.36673370e-08	-8.26047585e-08
4.8             	-4.58978656e-10	9.81994889e-01	-1.45625028e-07	-7.32714928e-08	-7.23535355e-08
4.85            	-4.39151798e-10	9.80197921e-01	-1.69099813e-07	-8.49890585e-08	-8.41107549e-08
4.9             	-4.52454103e-10	9.78086011e-01	-1.63048652e-07	-8.19767800e-08	-8.10718718e-08
4.95            	-4.04057852e-10	9.75978589e-01	-1.66490159e-07	-8.36491373e-08	-8.28410216e-08
5               	-3.59565646e-10	9.73877657e-01	-1.87300938e-07	-9.40100346e-08	-9.32909033e-08
5.05            	-4.93737197e-10	9.72282312e-01	-1.68879439e-07	-8.49334566e-08	-8.39459822e-08
5.1             	-4.62101801e-10	9.70514969e-01	-1.87537506e-07	-9.42308546e-08	-9.33066510e-08
5.15            	-4.06078604e-10	9.68820153e-01	-1.81211424e-07	-9.10117907e-08	-9.01996335e-08
5.2             	-3.28180579e-10	9.67301071e-01	-1.80220866e-07	-9.04386134e-08	-8.97822522e-08
5.25            	-2.22974112e-10	9.65464704e-01	-1.77605535e-07	-8.90257415e-08	-8.85797933e-08
5.3             	-1.21596661e-10	9.63799527e-01	-1.59438685e-07	-7.98409394e-08	-7.95977461e-08
5.35            	-2.29848087e-11	9.62047096e-01	-1.59400741e-07	-7.97233551e-08	-7.96773855e-08
5.4             	7.82717728e-11	9.60349662e-01	-1.52842975e-07	-7.63432159e-08	-7.64997594e-08
5.45            	1.81405312e-10	9.58591108e-01	-1.38887046e-07	-6.92621179e-08	-6.96249285e-08
5.5             	2.78057305e-10	9.56721243e-01	-1.30514567e-07	-6.49792264e-08	-6.55353410e-08
5.55            	3.70924334e-10	9.55061943e-01	-1.38524423e-07	-6.88912873e-08	-6.96331360e-08
5.6             	4.46423323e-10	9.53421950e-01	-1.14404186e-07	-5.67556695e-08	-5.76485161e-08
5.65            	5.07631140e-10	9.51711785e-01	-1.11706853e-07	-5.53457954e-08	-5.63610577e-08
5.7             	5.75875632e-10	9.50082374e-01	-1.12036804e-07	-5.54425261e-08	-5.65942774e-08
5.75            	6.70275651e-10	9.48501909e-01	-3.42583564e-08	-1.64589026e-08	-1.77994539e-08
5.8             	7.40825252e-10	9.46959719e-01	-5.69993685e-08	-2.77588590e-08	-2.92405095e-08
5.85            	8.24613446e-10	9.45390973e-01	-1.99181837e-08	-9.13447838e-09	-1.07837053e-08
5.9             	9.14562082e-10	9.43762481e-01	1.70762745e-09	1.76837581e-09	-6.07483564e-11
5.95            	9.73641120e-10	9.42296350e-01	-3.22192807e-08	-1.51359993e-08	-1.70832815e-08
6               	1.09571841e-09	9.40707326e-01	3.49354466e-08	1.85634417e-08	1.63720049e-08
6.05            	1.17758550e-09	9.38993988e-01	1.60589334e-08	9.20705219e-09	6.85188119e-09
6.1             	1.24719038e-09	9.37252513e-01	4.20190894e-08	2.22567351e-08	1.97623543e-08
6.15            	1.24766617e-09	9.35806684e-01	-1.73167730e-08	-7.41072035e-09	-9.90605268e-09
